NameYear,Name,Pos,Age,TeamOrTot,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Salary,ID,Team,SalClean,SalNorm
Cameron_Payne_2021,Cameron Payne,PG,27,PHO,58,12,22.0,4.1,10.1,.409,1.2,3.6,.336,2.9,6.5,.449,.469,1.3,1.5,.843,0.4,2.6,3.0,4.9,0.7,0.3,1.8,2.1,10.8,.359,30.7,1.2,0.0,0.4,12.3,1.8,.152,-0.4,2.1,0.2,13.8,1.5,14.1,7.3,.500,24.6,0.7,1.9,.073,"$6,500,000",/players/p/payneca01.html,PHO,6.5,
Elfrid_Payton_2021,Elfrid Payton,PG,27,PHO,50,1,11.0,1.3,3.5,.383,0.1,0.4,.222,1.3,3.1,.401,.394,0.2,0.6,.375,0.4,1.3,1.8,2.0,0.5,0.1,0.9,0.8,3.0,.103,23.0,1.0,-3.5,1.2,12.8,0.8,.183,-4.6,4.2,-1.0,7.9,2.2,19.9,8.6,.397,18.5,-0.2,-0.2,-0.014,"$2,239,544",/players/p/paytoel01.html,PHO,2.239544,
Gary_Payton_II_2021,Gary Payton II,PG,29,GSW,71,16,17.6,3.0,4.8,.616,0.6,1.7,.358,2.4,3.2,.754,.679,0.5,0.8,.603,1.0,2.5,3.5,0.9,1.4,0.3,0.6,1.8,7.1,.349,7.6,1.7,3.7,3.4,14.9,2.6,.169,0.3,6.5,2.5,17.8,3.8,9.8,10.8,.679,14.3,1.8,5.2,.199,"$1,939,350",/players/p/paytoga02.html,GSW,1.93935,
Norvel_Pelle_2021,Norvel Pelle,C,28,UTA,3,0,6.3,1.0,1.7,.600,0.0,0.0,,1.0,1.7,.600,.600,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.3,0.7,0.3,2.0,.000,0.0,4.6,-7.1,-4.1,16.7,0.0,.000,-3.0,17.9,0.0,12.2,0.0,28.6,17.3,.600,16.0,0.0,0.0,.038,,/players/p/pelleno01.html,UTA,,
Reggie_Perry_2021,Reggie Perry,PF,21,TOT,10,1,18.7,4.0,7.9,.506,0.3,1.6,.188,3.7,6.3,.587,.525,0.9,1.5,.600,1.5,3.2,4.7,1.2,0.9,0.6,1.1,3.3,9.2,.203,11.1,3.2,-4.1,-1.0,19.5,0.2,.190,-3.1,8.5,0.1,15.6,2.4,11.4,13.8,.537,22.4,-0.1,0.2,.058,,/players/p/perryre01.html,IND,,
Jamorko_Pickett_2021,Jamorko Pickett,PF,24,DET,13,0,13.5,1.4,3.8,.360,1.0,3.0,.333,0.4,0.8,.455,.490,0.1,0.2,.500,0.5,2.0,2.5,0.5,0.0,0.5,0.4,0.9,3.8,.780,5.8,3.6,-5.0,-2.1,16.8,0.1,.040,-2.8,3.5,0.0,7.6,0.0,8.9,9.8,.491,13.6,-0.1,0.1,.015,,/players/p/pickeja01.html,DET,,
Theo_Pinson_2021,Theo Pinson,SF,26,DAL,19,0,7.8,0.7,2.1,.359,0.5,1.6,.333,0.2,0.5,.444,.487,0.5,0.5,1.000,0.1,1.0,1.1,0.9,0.3,0.1,0.3,0.6,2.5,.769,15.9,1.2,-0.5,1.0,14.3,0.2,.256,-1.5,1.5,0.2,11.9,1.7,10.3,7.9,.553,14.7,0.1,0.4,.122,,/players/p/pinsoth01.html,DAL,,
Mason_Plumlee_2021,Mason Plumlee,C,31,CHO,73,73,24.6,2.8,4.4,.641,0.0,0.0,.000,2.8,4.4,.645,.641,0.9,2.3,.392,2.4,5.3,7.7,3.1,0.8,0.7,1.4,3.1,6.5,.006,16.4,2.7,0.0,1.5,23.3,2.0,.534,-1.5,10.2,2.7,14.7,1.6,20.2,16.7,.603,11.7,0.9,4.7,.127,"$8,137,500",/players/p/plumlma01.html,CHO,8.1375,
Jakob_Poeltl_2021,Jakob Poeltl,C,26,SAS,68,67,29.0,6.0,9.8,.618,0.0,0.0,1.000,6.0,9.7,.618,.619,1.4,2.8,.495,3.9,5.5,9.3,2.8,0.7,1.7,1.6,3.1,13.5,.002,14.0,5.0,1.6,0.7,20.0,2.5,.287,0.9,13.9,4.4,20.8,1.1,12.7,16.9,.613,18.3,1.7,6.9,.168,"$8,750,000",/players/p/poeltja01.html,SAS,8.75,
Aleksej_Pokusevski_2021,Aleksej Pokusevski,PF,20,OKC,61,12,20.2,3.0,7.5,.408,0.9,3.2,.289,2.1,4.2,.498,.470,0.6,0.8,.700,1.2,4.0,5.2,2.1,0.6,0.6,1.5,1.4,7.6,.432,16.5,2.9,-2.6,0.1,20.8,1.5,.110,-2.7,6.0,-1.1,12.0,1.5,16.4,13.3,.485,20.0,-0.2,0.4,.014,"$3,113,160",/players/p/pokusal01.html,OKC,3.11316,
