,Name,CurrentSalary,CurrentTeam
22,Troy Williams,"$122,741",HOU
0,Bradley Beal,"$34,502,130",WAS
1,Kristaps Porziņģis,"$31,650,600",WAS
2,Kentavious Caldwell-Pope,"$13,038,862",WAS
3,Kyle Kuzma,"$13,000,000",WAS
4,Thomas Bryant,"$8,730,159",WAS
5,Rui Hachimura,"$4,916,160",WAS
6,Deni Avdija,"$4,692,840",WAS
7,Ish Smith,"$4,500,000",WAS
8,Corey Kispert,"$3,383,640",WAS
9,Raul Neto,"$2,089,448",WAS
10,Daniel Gafford,"$1,782,621",WAS
11,Anthony Gill,"$1,517,981",WAS
12,Vernon Carey Jr.,"$1,517,981",WAS
13,Isaiah Todd,"$1,500,000",WAS
14,Tomáš Satoranský,"$468,119",WAS
0,Devin Booker,"$31,610,000",PHO
1,Chris Paul,"$30,800,000",PHO
2,Deandre Ayton,"$12,632,950",PHO
3,Jae Crowder,"$9,720,900",PHO
4,Dario Šarić,"$9,000,000",PHO
5,Cameron Payne,"$6,500,000",PHO
6,Mikal Bridges,"$5,557,725",PHO
7,JaVale McGee,"$5,000,000",PHO
8,Torrey Craig,"$4,878,049",PHO
9,Cameron Johnson,"$4,437,000",PHO
10,Aaron Holiday,"$3,980,551",PHO
11,Landry Shamet,"$3,768,342",PHO
12,Elfrid Payton,"$2,239,544",PHO
13,Bismack Biyombo,"$1,366,392",PHO
14,Ish Wainright,"$8,558",PHO
17,Frank Kaminsky,"$2,089,448",PHO
18,Abdel Nader,"$2,000,000",PHO
0,Rudy Gobert,"$35,344,828",UTA
1,Donovan Mitchell,"$28,103,550",UTA
2,Mike Conley,"$21,000,000",UTA
3,Bojan Bogdanović,"$18,700,000",UTA
4,Jordan Clarkson,"$12,420,000",UTA
5,Royce O'Neale,"$8,678,571",UTA
6,Juancho Hernangómez,"$6,175,440",UTA
7,Rudy Gay,"$5,890,000",UTA
8,Nickeil Alexander-Walker,"$3,261,480",UTA
9,Hassan Whiteside,"$2,401,537",UTA
10,Udoka Azubuike,"$2,075,880",UTA
11,Eric Paschall,"$1,782,621",UTA
12,Jared Butler,"$925,258",UTA
13,Danuel House Jr.,"$657,596",UTA
14,Trent Forrest,"$8,558",UTA
0,De'Aaron Fox,"$28,103,550",SAC
1,Harrison Barnes,"$20,284,091",SAC
2,Domantas Sabonis,"$18,562,500",SAC
3,Jeremy Lamb,"$10,500,000",SAC
4,Richaun Holmes,"$10,384,500",SAC
5,Justin Holiday,"$6,006,420",SAC
6,Josh Jackson,"$5,005,350",SAC
7,Donte DiVincenzo,"$4,675,830",SAC
8,Davion Mitchell,"$4,603,320",SAC
9,Maurice Harkless,"$4,347,600",SAC
10,Terence Davis,"$4,000,000",SAC
11,Alex Len,"$3,731,707",SAC
12,Trey Lyles,"$2,500,000",SAC
13,Damian Jones,"$1,977,011",SAC
14,Chimezie Metu,"$1,762,796",SAC
17,Jahmi'us Ramsey,"$1,517,981",SAC
18,Robert Woodard II,"$1,517,981",SAC
0,Gordon Hayward,"$29,900,000",CHO
1,Terry Rozier,"$17,905,263",CHO
2,Kelly Oubre Jr.,"$12,000,000",CHO
3,Montrezl Harrell,"$9,720,900",CHO
4,LaMelo Ball,"$8,231,760",CHO
5,Mason Plumlee,"$8,137,500",CHO
6,Miles Bridges,"$5,421,493",CHO
7,P.J. Washington,"$4,215,120",CHO
8,James Bouknight,"$4,154,400",CHO
9,Kai Jones,"$2,770,560",CHO
10,Cody Martin,"$1,782,621",CHO
11,Jalen McDaniels,"$1,782,621",CHO
12,Nick Richards,"$1,517,981",CHO
13,JT Thor,"$1,250,000",CHO
14,Isaiah Thomas,"$276,039",CHO
0,DeMar DeRozan,"$26,000,000",CHI
1,Nikola Vučević,"$24,000,000",CHI
2,Zach LaVine,"$19,500,000",CHI
3,Lonzo Ball,"$18,604,651",CHI
4,Derrick Jones Jr.,"$9,720,900",CHI
5,Alex Caruso,"$8,604,651",CHI
6,Patrick Williams,"$7,422,000",CHI
7,Coby White,"$5,837,760",CHI
8,Troy Brown Jr.,"$5,170,564",CHI
9,Tony Bradley,"$1,789,256",CHI
10,Matt Thomas,"$1,669,178",CHI
11,Javonte Green,"$1,669,178",CHI
12,Tristan Thompson,"$1,000,000",CHI
13,Marko Simonovic,"$925,258",CHI
14,Ayo Dosunmu,"$925,258",CHI
18,Alfonzo McKinnie,"$1,090,007",CHI
19,Alize Johnson,"$705,598",CHI
0,Julius Randle,"$19,800,000",NYK
1,Evan Fournier,"$18,139,535",NYK
2,Derrick Rose,"$13,445,120",NYK
3,Alec Burks,"$9,536,000",NYK
4,Nerlens Noel,"$8,800,000",NYK
5,Kemba Walker,"$8,729,020",NYK
6,RJ Barrett,"$8,623,920",NYK
7,Obi Toppin,"$5,105,160",NYK
8,Taj Gibson,"$4,910,000",NYK
9,Cam Reddish,"$4,670,160",NYK
10,Immanuel Quickley,"$2,210,640",NYK
11,Quentin Grimes,"$2,168,760",NYK
